gene_symbol	Control1	Control2	Control3	Control4	Diseased1	Diseased2	Diseased3	Diseased4
HSD17B13	5	10	4	6	36	23	7	72
PA2G4	116	93	169	17	562	444	369	1020
COX7B2	3	4	3	3	0	0	2	0
ELOVL6	16	26	25	16	74	45	24	51
PFKFB3	111	75	209	34	649	870	408	917
TMC7	9	12	21	13	39	6	10	30
ARL6IP1	85	79	204	2	594	794	320	1206
SERPINB9	16	21	20	4	182	64	65	97
SMAGP	7	36	29	11	53	52	38	120
IRX1	6	8	10	4	31	6	6	18
CDH2	10	8	9	9	2	0	9	0
IRX2	3	3	1	4	6	53	1	62
EMB	14	24	76	6	251	125	116	193
SIX2	97	26	66	2	157	23	149	156
DLGAP1	19	29	27	22	46	18	8	39
STAT2	132	130	206	8	943	341	511	1032
NUDCD2	31	33	41	17	158	102	110	243
IRF2BP1	43	33	54	6	92	153	116	133
OR9K2	6	19	21	13	1	0	6	0
HSPA4	116	82	246	10	1061	513	525	1002
FOXA3	0	5	1	5	0	0	3	2
FAM71B	7	11	14	16	4	6	5	0
SLC26A5	3	3	3	2	1	1	0	12
COMMD5	21	23	30	5	113	77	109	142
SGCD	91	94	144	44	822	483	316	517
GTSF1	7	35	14	11	0	2	28	0
DPY19L2P2	16	15	14	11	36	2	17	29
ZNF16	14	16	25	7	75	56	87	103
ARMC10	51	53	69	16	225	85	163	263
RNF34	53	51	109	7	368	188	211	332
ACYP2	23	29	18	4	56	54	17	39
TRABD	46	60	61	10	175	168	157	276
ATF7	119	116	282	11	979	546	629	1240
RASA4B	92	93	130	0	699	269	570	722
SOCS6	43	44	71	18	292	176	142	385
MURC	18	29	21	28	18	2	28	18
OR10A3	11	21	10	8	0	0	30	0
ZNF296	4	3	11	3	10	23	0	7
OR5E1P	0	3	1	3	0	4	0	0
HOXB9	6	11	7	9	0	2	12	5
TTLL6	15	16	15	6	0	8	3	20
POLH	28	26	58	9	97	85	101	196
SYT9	11	25	10	11	12	14	3	9
KCNS3	77	40	45	21	238	154	258	272
RBMXL2	6	17	5	11	6	0	6	10
KIF5B	339	214	576	17	3238	1921	1460	3458
GPR37	9	10	9	9	3	2	4	25
AKAP13	1300	746	1810	83	6260	3275	3404	7960
TPD52L3	29	43	27	22	28	4	13	0
CDCA4	4	10	9	3	9	18	48	66
OR10A4	4	2	1	4	0	0	0	0
SDR16C5	12	16	7	12	4	8	12	19
OR10A2	9	8	6	12	0	0	13	0
CHCHD7	58	52	57	22	256	256	98	415
HTRA3	165	63	87	7	625	277	335	617
FOXN2	19	37	92	11	392	319	114	621
LMOD2	4	3	1	2	0	3	0	0
BFSP2	4	3	6	1	0	5	0	5
CELP	5	17	8	2	1	1	4	3
USP32	71	65	146	16	533	248	296	550
CEL	0	0	2	3	0	1	4	5
PPM1D	39	32	32	6	148	114	119	314
GPR27	8	8	1	4	13	2	19	19
AC093323.3	57	88	52	47	181	148	121	228
PSG6	8	11	10	12	0	0	14	0
KBTBD2	79	56	179	13	762	369	301	891
RIOX2	58	70	92	27	195	141	84	251
TRIAP1	16	18	25	11	76	41	38	75
LILRP2	6	9	1	1	5	0	2	2
LSM3	36	31	67	11	536	392	75	414
KIAA0232	165	138	238	43	937	578	430	1163
MTSS1	291	257	341	9	1048	734	595	1454
TMEM43	308	192	536	5	1076	723	794	1701
RNF139	38	32	54	6	317	262	124	267
RPS9	278	169	348	13	1303	1052	1072	1922
CYTL1	7	1	7	0	7	15	4	55
TSEN34	26	20	33	7	73	138	56	99
TRH	14	21	9	8	4	0	6	0
GSTA4	12	13	21	4	134	109	36	175
MSANTD4	47	81	95	22	237	198	134	293
NDUFA3	8	5	14	0	62	40	19	97
OSCAR	5	12	1	5	29	5	25	5
PAQR8	29	31	29	19	89	53	64	120
NUDT6	27	37	33	16	59	52	59	63
TPT1-AS1	81	85	119	21	423	214	231	659
TANC2	168	160	231	82	855	381	638	914
OR7G2	2	4	1	6	0	0	0	0
TEX13B	4	2	4	3	0	0	0	0
PKHD1	51	50	46	59	27	27	26	7
OR1M1	2	4	1	3	1	0	2	6
NCBP2L	11	16	10	10	8	0	4	8
DNAJC24	21	13	27	12	63	102	56	102
MBD3L1	2	5	3	3	0	0	0	0
ZNF160	106	125	251	36	801	466	484	1245
PGK2	9	11	7	8	7	3	14	0
OR8B12	1	3	4	4	0	0	0	0
ZNF415	10	9	17	9	84	69	29	73
PRKCDBP	92	66	126	1	390	245	226	216
DCDC1	17	37	17	26	7	16	4	0
HAS2	28	42	65	21	73	64	37	140
PDGFD	120	85	174	7	1064	742	307	844
PLAC1	6	6	2	7	0	0	0	7
DDI1	8	10	2	12	3	0	6	4
NCRNA00208	8	10	5	3	0	2	1	0
S1PR1	68	94	204	9	595	298	435	995
HS6ST2	13	12	1	9	1	2	5	7
OR4D5	3	3	4	5	0	0	10	0
PYGO1	28	38	54	13	244	140	177	273
LRRC8E	12	13	12	10	12	15	25	44
PKIA	14	23	18	12	71	29	18	54
XKR6	4	7	5	5	2	2	8	15
TSNARE1	40	37	56	5	74	127	112	168
FPR2	13	18	14	17	27	6	1	12
FPR1	3	7	7	11	1	5	4	6
PATE1	3	6	2	4	1	5	8	0
FEZ2	55	68	138	30	347	418	335	649
SOX7	16	17	56	2	215	54	46	251
C8orf74	10	9	6	5	0	0	14	0
C11orf24	33	28	72	2	377	81	202	242
RP11-666A20.1	6	12	1	5	5	2	9	5
ALK	14	24	12	9	0	8	16	7
CCBL1	9	8	8	3	32	25	18	49
MTM1	32	33	40	6	226	140	95	313
SIGLEC17P	10	8	9	16	7	25	5	19
OBP2B	0	1	0	0	9	9	0	1
TRMT61B	20	15	25	9	99	52	47	128
INSR	188	157	269	32	540	430	433	1158
MFN1	83	90	201	23	624	556	313	845
GIMAP8	98	148	335	30	555	502	500	1632
HSFX1	9	19	10	7	17	0	6	30
NRTN	2	3	0	0	0	16	1	3
KCNMB3	39	33	53	27	49	128	40	136
FUT3	2	8	3	4	12	0	1	0
KCNG3	7	8	1	9	10	3	0	0
ATP6V0E2	12	11	17	6	48	58	15	44
PRKCE	53	60	92	17	278	189	124	243
OR2K2	3	1	3	2	2	0	0	2
JAGN1	23	13	25	5	78	51	50	164
RLN3	0	0	0	0	10	0	0	0
TADA3	65	64	116	7	422	296	283	434
SOCS5	88	96	117	21	881	416	412	787
C1GALT1C1	14	12	33	4	173	136	60	207
C9orf16	12	8	27	2	171	98	143	85
MORN4	20	10	21	6	49	22	25	36
ZNF672	33	26	58	2	108	157	108	201
ZNF692	32	30	60	5	109	107	133	196
NAIF1	14	21	9	3	19	31	45	59
RBKS	8	11	8	2	43	7	2	13
OR2M4	13	37	11	23	5	0	3	0
GRIK1	6	9	0	10	4	9	1	2
MUC7	6	7	4	8	0	27	0	119
TMEM126A	4	4	6	5	19	22	14	23
TMEM126B	5	16	27	1	122	81	47	82
TRIM8	184	220	408	24	1167	907	559	1331
NETO2	36	48	31	23	16	10	11	6
CLDN20	0	2	4	4	0	0	0	0
CDC42BPG	27	22	15	18	66	83	45	81
SCAND1	38	10	37	5	141	86	47	122
JUNB	92	31	75	4	645	137	203	481
C10orf35	2	2	3	0	5	11	3	8
TMEM37	3	7	18	3	17	76	34	40
LRG1	2	6	1	6	11	0	14	11
SHCBP1	12	23	25	6	45	0	15	22
SOSTDC1	31	34	21	22	51	111	35	110
NPTX1	10	28	11	19	3	0	7	7
FAM98B	30	40	75	17	331	179	155	455
ZNF439	27	63	49	20	106	48	106	182
ZNF440	21	31	45	12	158	121	105	206
GAA	70	62	98	4	343	221	310	380
CANT1	50	50	110	10	282	166	201	273
KCNK3	9	15	20	12	36	7	4	22
ZDHHC16	29	22	47	4	101	78	167	245
CHST11	41	48	57	17	161	83	85	111
EXOSC1	26	22	36	7	101	77	63	183
PGAM1	97	68	125	9	667	319	354	572
CHD7	131	139	190	46	760	362	403	902
ESCO2	1	10	6	11	0	0	1	0
KRT19	13	28	9	10	38	431	16	490
KRT15	17	36	16	25	46	373	57	625
LURAP1	24	25	19	2	70	37	32	90
KRT38	0	4	2	4	0	0	0	0
CLCN5	53	84	63	49	246	146	147	165
TPPP	59	53	60	25	115	111	103	200
KCND3	26	35	41	19	29	67	22	47
APLN	8	15	7	4	73	2	62	17
KRT13	3	6	2	2	0	0	2	0
KRT9	5	2	9	0	0	2	2	2171
PDE7B	36	37	54	14	521	146	209	596
MRPL36	7	15	20	5	64	43	37	54
ZNF581	18	19	20	2	39	46	69	171
NAT1	11	13	21	13	25	1	13	42
KSR2	35	43	19	40	7	19	31	7
ZNF524	17	10	17	3	33	43	18	50
MCC	141	145	232	34	856	417	419	786
KRT27	2	6	1	3	3	0	0	0
ZBTB26	22	36	32	14	111	100	31	179
DSEL	113	76	100	21	583	372	413	587
POLR1C	24	29	30	17	81	62	47	131
ASXL1	273	222	354	39	1123	583	1004	1578
OR1L6	4	6	0	0	0	0	0	0
DLK2	2	6	5	3	3	2	4	6
ZNF562	54	71	111	26	309	193	263	551
ZNF318	110	100	177	30	740	350	325	892
ZNF561	31	24	77	10	151	135	95	357
WIPF2	75	83	143	17	279	262	293	607
HOPX	42	45	26	47	42	50	24	73
OR1L3	3	0	1	6	3	0	0	0
NLRP5	11	24	13	11	1	3	7	8
LRRC8C	62	88	164	44	402	422	350	895
RSL1D1	123	107	203	15	690	529	405	1277
LRRC8D	21	29	38	29	104	78	88	148
OR1L8	0	3	3	6	0	9	0	2
PPID	21	20	47	2	148	94	140	299
OR1N2	0	2	4	5	0	0	0	0
COL24A1	13	32	21	13	103	122	59	189
ETFDH	35	40	71	8	213	221	125	344
RXFP1	16	43	16	17	5	10	17	0
LPAR3	10	6	5	12	7	7	6	8
PTGER4	27	28	61	5	95	93	83	210
TBCA	102	31	103	4	691	431	309	820
NEUROD2	12	31	8	14	26	23	22	27
MAP6	28	40	18	19	35	43	18	44
OTP	8	19	7	13	1	8	8	5
ECEL1	9	6	1	1	14	0	30	1
BCL2L1	44	55	112	4	308	213	204	356
FGA	23	22	7	24	16	12	3	4
OR2AT4	7	23	16	9	2	2	4	0
FGB	1	9	0	7	0	0	0	7
PLRG1	43	41	92	12	380	297	123	397
RAB4B-EGLN2	2	4	0	0	0	0	45	8
ZNF584	14	10	25	4	61	48	41	98
DSCAM	14	9	7	7	0	0	3	0
DNAI2	4	1	1	4	1	1	0	0
NMUR1	6	8	8	8	8	8	17	0
CLSTN1	580	307	626	6	1834	954	1332	2143
CXXC5	61	38	127	8	561	206	375	364
ZNF274	91	93	93	30	209	146	214	418
PIK3CD	25	22	49	4	154	54	71	92
SLC25A33	15	10	5	6	36	53	33	31
ENC1	11	20	21	20	148	46	37	146
SPSB1	65	53	80	7	301	155	154	181
P2RY6	9	12	18	9	11	25	24	11
BPTF	398	409	819	44	2933	1906	1606	4465
ZIK1	14	22	25	16	54	46	18	48
GPR82	7	10	1	7	0	0	7	6
RP11-443P15.2	25	23	25	14	18	13	17	12
GPR34	4	8	21	1	73	120	69	72
C11orf76	2	3	0	6	2	9	0	0
PLEKHG5	48	96	117	6	683	394	465	337
ATF7IP	245	261	478	26	1370	1163	1055	2989
RGS19	2	5	2	0	19	24	35	54
TCEA2	47	33	50	7	160	140	272	200
ANO5	33	43	31	19	23	18	17	15
HDAC3	59	35	67	6	203	120	144	297
GPHN	46	28	61	12	233	173	122	217
VAT1L	7	5	11	6	41	18	34	2
TMEM51	6	1	0	3	64	16	6	31
CAMTA1	33	25	37	19	160	96	100	194
LGALS4	0	11	2	1	1	14	6	12
LRRC34	7	4	4	4	50	15	6	45
PAH	22	25	16	19	17	8	24	0
SPATA5L1	25	16	23	12	80	25	59	104
GATM	27	54	71	20	191	129	157	255
SYCE1	3	5	7	1	5	2	0	4
RASGRP4	6	11	9	1	39	27	17	19
NHLH1	2	0	3	3	2	0	16	3
SLFNL1	14	20	5	9	12	13	30	31
BCL2	178	135	194	43	338	400	351	957
RHNO1	7	5	11	4	64	37	35	39
CTPS1	23	18	49	5	104	54	102	152
KNDC1	13	24	14	18	7	0	19	1
WDR87	68	90	64	106	9	31	42	7
METTL18	6	9	10	5	19	62	12	66
CFAP46	8	4	5	5	3	2	1	1
COL8A2	289	105	212	8	1198	323	1430	617
PWWP2B	35	28	43	14	89	63	63	99
PCDHB1	43	78	69	49	26	32	12	16
ZNF540	13	14	22	9	32	88	36	142
ANGPTL7	1477	776	2118	12	12970	5634	4731	22815
FBXL14	38	21	34	7	63	54	71	139
EXOSC10	137	136	270	16	919	581	466	1090
ZNF570	58	77	74	39	150	136	144	271
NINJ2	9	7	14	4	44	12	25	44
MLLT3	32	39	57	21	222	223	132	466
FAM90A1	0	4	4	5	0	4	2	0
RRM2	9	22	17	11	30	13	17	12
TRAPPC12	107	98	194	26	487	353	330	568
IFNB1	2	3	2	4	1	0	0	0
RPS21	154	66	236	1	755	993	520	1417
C3AR1	3	11	10	2	41	14	41	29
RNMTL1	17	31	36	7	62	61	37	116
PTEN	213	229	458	30	2078	1549	973	2787
RPS7	346	231	597	30	3095	4282	1104	4593
PRND	15	16	9	10	103	2	8	15
RNASEH1	31	39	75	5	384	235	165	240
PRNP	124	84	173	7	1020	468	452	1105
KLF17	8	19	5	11	6	3	4	0
ADRA1D	12	11	5	6	31	4	34	12
FRMD5	13	21	14	26	43	14	9	28
AQP4	7	10	9	15	7	0	16	12
CYP4F11	7	8	2	6	7	0	8	0
TLN2	206	279	511	47	852	1031	505	1468
LGALS9C	3	26	5	4	1	4	5	0
TVP23B	41	43	86	19	206	282	138	389
FBXW10	7	22	5	14	5	2	2	5
ZNF217	77	69	177	15	502	310	302	816
SRGAP2C	105	65	193	25	345	256	322	650
OR52A5	7	20	16	9	8	0	2	0
SCG2	20	28	13	23	94	30	59	48
ATPAF2	29	23	45	10	111	48	26	178
CYP4F22	3	3	5	3	12	1	4	10
FOXB1	10	7	1	8	0	0	0	0
PPIH	8	4	12	0	39	31	17	77
DRC3	38	53	36	28	109	52	72	104
ZNF57	9	5	23	8	41	37	11	44
C20orf196	7	8	10	6	25	17	6	11
JMJD1C	320	320	571	27	2648	2010	1309	3668
LDHAL6B	7	8	6	11	0	12	0	0
SYNPO	702	378	629	29	4495	2088	2623	4714
ZNF556	7	18	9	12	14	2	0	0
MAL	4	6	7	2	5	6	3	15
ZNF554	32	23	19	6	74	34	57	60
RAB33B	35	27	62	10	146	150	175	318
THOP1	35	36	53	7	111	97	71	121
ANKRD20A4	11	1	9	6	10	4	9	1
REG3A	11	11	9	2	0	3	8	0
GAP43	11	8	5	5	25	22	4	17
REG1B	4	5	1	14	7	0	6	0
EPHX4	8	5	6	3	11	2	3	12
LAMB2	1157	710	1483	15	5115	2739	3807	4654
USP19	95	84	121	3	505	338	217	598
QARS	116	76	206	1	873	597	472	1121
ORMDL3	30	23	57	6	161	234	149	340
SERF1A	10	26	16	10	38	15	42	24
KLF11	70	60	130	20	304	248	274	408
LRRC15	239	112	176	22	3056	374	3003	914
SMN1	15	46	98	13	188	223	109	393
EIF2AK3	80	67	136	23	382	238	231	543
MOB3A	67	61	131	9	377	195	259	363
KRCC1	36	45	72	15	185	326	140	575
NME6	46	49	73	26	114	69	69	230
CYCS	23	43	83	10	299	353	167	389
CD8B	4	8	5	3	16	2	20	10
SLFN12	9	28	28	16	97	79	40	158
CALB2	4	3	2	1	16	99	3	43
OR1A1	11	23	15	24	1	2	23	2
FRMD3	57	65	98	28	449	336	241	657
SNTB1	45	30	50	26	159	153	55	287
MTBP	24	27	31	11	36	46	23	100
TEFM	20	50	31	20	63	72	43	129
MRPL13	12	13	24	7	106	100	33	132
MALT1	81	99	153	34	400	244	225	684
ISG20	44	33	31	25	45	32	73	112
OR4C11	3	15	3	4	0	5	0	0
MBOAT1	37	18	54	0	260	56	157	208
ID4	71	87	135	10	519	395	207	822
GPR22	5	17	6	22	6	0	0	2
CXCR6	4	15	8	4	5	6	7	4
CEBPB	65	35	61	4	239	287	89	417
AZU1	4	15	3	2	0	0	2	0
TPSAB1	20	59	46	3	430	534	61	391
ATOH1	5	17	11	9	5	0	21	1
PAIP1	69	53	160	4	628	373	253	640
CLEC7A	4	6	5	1	41	15	10	37
C5orf34	3	10	9	9	26	12	8	58
C1QTNF4	4	6	13	2	49	12	23	9
SERHL	3	9	1	0	0	5	3	4
NEGR1	137	116	207	35	594	618	192	1251
ZNF131	59	95	109	28	336	243	198	424
MACROD2	27	34	23	38	36	13	34	17
DPAGT1	16	21	35	14	81	34	79	62
BSG	216	122	340	6	764	540	690	1140
HINFP	58	69	85	21	207	90	143	276
CERS6	29	46	71	12	357	230	186	339
SPTLC3	14	31	24	14	66	60	41	156
COPRS	67	23	48	3	311	149	164	324
TP53RK	40	52	42	24	53	103	71	98
B3GALT1	10	21	12	17	35	17	33	15
OR5A1	12	21	12	20	0	8	3	1
CLEC12A	7	16	13	9	51	11	126	0
OR5A2	29	47	11	30	3	0	8	1
BPGM	31	33	55	11	262	131	75	104
POP7	23	12	27	0	42	94	52	62
ALG14	17	25	27	12	50	38	44	64
SUCLG2	40	38	98	4	452	294	149	750
STARD5	16	29	28	14	66	35	48	99
CSDC2	3	3	8	5	11	4	2	16
RCAN2	36	43	83	4	422	155	115	683
IL16	608	313	549	38	512	580	421	1711
ABCG4	15	12	9	9	20	6	13	0
GNB2	117	68	156	0	438	234	403	585
CFAP53	8	1	10	7	2	13	6	24
OR5B12	0	1	3	2	0	0	8	0
OR5B2	5	7	1	3	0	0	0	0
FAM195A	12	14	8	5	105	40	43	62
PDZD3	17	17	7	5	5	6	28	12
C2CD2L	53	52	63	20	112	107	134	174
OR9I1	16	26	7	20	5	0	0	0
ARNT2	13	18	28	12	94	44	211	154
GNG12	136	117	313	28	1390	871	720	1419
PRSS27	9	20	13	10	15	0	23	15
MYOZ2	34	30	71	25	23	50	21	148
SYNPO2	868	887	988	85	6056	2694	3339	9389
DNAJB7	9	13	18	17	0	2	1	0
CLP1	22	19	40	11	125	59	35	111
TTC36	4	1	4	1	3	6	0	1
RSPH9	11	16	14	9	15	2	7	4
MYEOV2	9	8	12	3	92	45	16	54
GTPBP2	53	42	108	3	264	191	235	534
FGGY	28	36	17	10	68	84	44	164
IL17D	37	24	39	8	211	59	52	139
OR5AR1	4	2	1	4	0	0	0	0
PRSS30P	7	8	5	9	5	9	18	6
FUT9	39	79	23	71	7	25	3	21
TCEAL1	24	31	40	9	223	205	83	248
ZNF24	135	116	212	43	699	835	421	1251
MANEA	11	14	32	5	92	77	56	183
RAB40A	11	11	6	7	17	8	7	11
C2orf54	3	1	0	1	2	9	5	6
AGXT	8	13	6	6	0	5	5	0
AFF1	566	503	1059	39	2252	1755	1431	4153
ACOT12	1	4	1	4	0	1	0	1
FIBP	39	28	48	4	232	96	109	139
CARNS1	14	20	26	15	33	29	19	87
OR10H5	28	35	18	18	2	0	38	1
BANP	32	35	55	9	119	120	118	181
PPP1CA	35	21	105	3	296	175	190	347
HCFC1	223	172	369	9	807	605	729	999
FAM170B	8	11	10	8	2	0	1	0
NIPAL4	4	9	7	10	12	0	0	6
MUCL1	0	0	2	0	14	69	0	83
SNTG2	13	9	26	3	64	36	36	204
FNDC9	13	8	4	12	0	2	1	0
PDE3A	27	74	107	15	366	158	129	334
RASGRP1	1	10	3	6	18	5	12	28
KLHL6	15	37	24	37	58	31	59	41
CHCHD1	24	16	17	6	102	61	65	104
MRPL52	32	18	34	10	45	82	49	125
SMPDL3A	10	9	15	1	95	65	27	71
RND1	8	21	6	5	8	0	2	12
RAD9A	21	21	16	0	45	15	54	91
EFEMP2	111	73	119	11	614	342	462	464
OR10AD1	1	2	1	5	0	0	7	4
AGAP5	17	25	31	1	58	30	61	88
WASHC2C	127	129	187	11	761	449	469	893
TMEM134	27	30	37	7	131	80	69	185
ZMAT3	60	82	125	43	507	317	254	368
ZFAND4	23	11	46	5	63	84	87	118
THEMIS	18	16	19	9	7	1	15	5
MOS	6	7	3	0	0	0	11	0
ZNF738	8	3	18	1	31	34	12	61
MS4A10	5	1	2	4	0	0	2	0
SLFN11	106	114	198	25	576	417	496	785
FAM71D	1	8	1	7	3	4	2	0
CCL19	4	6	2	0	20	18	4	48
CORO1B	68	91	163	3	456	359	218	460
FUT10	63	50	54	29	176	137	162	239
LRRC20	10	10	13	5	65	18	42	37
MUS81	49	48	74	8	173	137	179	244
PURG	7	17	13	9	18	22	7	8
TMEM217	8	13	6	11	8	0	3	5
OR4D9	7	16	10	9	3	9	6	5
ZNF596	10	18	24	13	64	65	41	105
COL6A5	18	27	10	22	5	4	8	0
CFL1	177	144	364	10	1847	669	974	1221
TMCC1	66	101	122	29	344	268	250	397
NAA16	41	41	77	10	274	214	98	350
OR5B3	18	10	8	5	0	1	0	1
EFCAB12	24	38	21	26	21	17	34	21
OR10W1	5	4	4	9	0	0	0	0
FAM192A	76	84	136	13	432	305	289	584
RAB43	42	43	22	11	19	48	97	64
FADS6	0	4	1	5	2	2	2	5
CBWD1	46	82	113	50	513	393	240	389
HOXC5	0	1	7	2	5	1	0	4
RAB37	18	28	19	11	21	12	7	42
DCP2	48	63	117	11	486	329	264	703
SNX32	10	16	7	9	5	5	6	9
RPL38	207	166	314	4	1862	1863	613	3247
CYP7B1	11	13	12	0	75	45	50	83
OVOL1	3	15	10	11	19	2	14	11
RARG	188	86	180	6	555	259	587	784
CES4A	3	8	4	2	30	14	13	41
CES3	8	7	6	2	3	18	0	10
SSH3	37	36	64	2	116	211	127	288
CES2	54	52	95	8	251	176	161	437
PDP2	27	61	64	22	67	77	80	197
SP3	137	168	341	44	1324	1169	592	1787
KRT2	6	7	13	7	6	0	2	1566
DMXL1	105	125	270	27	959	881	446	1429
METAP1D	16	31	31	9	40	48	33	78
ZNF621	90	121	198	35	576	358	331	895
EGFL7	75	142	217	1	765	469	406	1098
NADSYN1	130	121	142	33	448	267	234	549
DHCR7	14	14	24	10	67	70	8	58
AP002387.1	10	9	8	13	10	8	6	0
LVRN	65	21	105	5	32	164	32	235
NBEA	56	115	141	23	827	860	241	811
RNASEH2C	88	71	85	16	352	293	225	418
MYEOV	5	13	8	4	6	8	13	9
ANKRD13D	45	50	109	6	275	148	168	304
MRGPRF	146	60	195	3	297	221	383	518
MYD88	33	33	79	7	229	126	126	221
MRGPRD	3	3	1	3	0	0	0	0
OXSR1	84	105	134	38	336	272	331	534
SLC22A13	0	3	0	3	0	0	5	0
PHF8	91	98	159	7	393	291	268	678
LCLAT1	29	38	51	16	188	137	151	341
ADH6	5	23	12	12	3	2	0	14
AC068491.1	110	99	115	66	292	117	234	377
FRG2C	1	2	1	1	11	0	0	0
AC007318.5	0	12	14	0	29	6	11	76
KAT5	65	45	104	3	300	197	202	307
SH3RF3	103	111	125	24	357	154	210	302
GXYLT2	11	21	39	4	499	147	323	320
HPSE2	214	101	60	10	487	201	108	515
DCAKD	17	21	41	3	110	62	135	198
ARPP21	41	47	17	29	4	8	22	0
TADA2B	67	77	79	19	263	134	249	348
CCDC96	40	39	17	27	26	34	38	17
ADRBK1	117	153	200	12	869	621	570	856
RELA	107	66	155	8	485	298	371	555
EVC2	91	118	141	11	371	331	331	485
ZNF680	42	33	81	17	199	196	107	245
HECTD4	324	303	493	23	1290	1001	938	1999
C17orf63	17	19	35	7	150	48	124	201
BNC2	146	174	290	47	1490	717	720	1363
1-Dec	14	12	4	10	0	1	6	4
RXFP4	3	1	0	2	1	4	0	0
HPSE	4	9	10	6	13	15	6	16
COQ2	1	8	18	3	26	19	27	50
CCDC63	0	3	1	1	0	2	5	8
HSPA6	14	27	14	15	17	26	19	2
TRMT112	70	40	115	3	307	283	301	357
LRRN3	11	13	14	16	110	33	15	46
KDM2A	251	182	422	26	1110	663	824	1623
ADCK5	8	5	19	3	27	40	41	63
MRPL57	21	19	34	3	110	76	49	114
NOC3L	43	40	87	7	219	287	160	371
ESRRA	13	12	31	2	120	68	85	105
RHOD	6	2	4	1	19	22	19	38
ADAMTS20	5	5	13	3	1	0	11	5
COMMD1	22	22	39	0	182	157	99	188
RAPH1	175	129	274	25	1041	536	659	1215
MTX1	41	35	58	14	137	60	121	136
ADCY5	33	22	53	4	92	112	34	148
PARP14	196	282	421	33	1568	843	717	2644
CYSLTR1	14	23	21	18	40	47	15	101
PARP15	9	12	12	4	48	13	12	11
CKS1B	6	15	13	6	38	65	7	78
ABCD2	9	10	27	13	48	155	11	76
AC016747.2	225	312	339	33	1000	823	847	1829
ABLIM3	59	101	232	13	675	574	353	1163
MAB21L3	8	6	8	10	5	1	1	2
RP11-683L23.1	1	7	4	3	4	1	8	0
MFSD4B	43	34	50	9	101	153	121	253
VANGL1	35	44	46	19	158	75	96	169
GLRX	33	28	69	25	168	129	102	252
IQCB1	21	23	52	3	203	122	76	333
SYT12	23	34	21	15	11	21	22	5
GOLGB1	736	752	1238	125	6190	4551	2614	7007
LIPM	1	3	2	2	0	0	0	6
GPR151	6	15	10	12	0	2	0	4
DMRT2	40	43	19	9	78	74	28	109
ZNF483	50	74	57	42	237	84	73	320
SLC2A14	1	5	10	4	0	0	3	0
GPR137	23	17	36	9	115	54	70	144
SNCG	32	26	64	0	105	167	61	227
MMRN2	231	244	513	17	1608	773	1008	2232
MZT2A	42	23	30	5	98	111	138	162
TNKS	127	125	248	17	844	610	363	1000
ZNF449	27	27	49	11	117	183	127	227
ZBTB21	189	76	99	36	393	301	450	520
PPP1R3B	81	63	92	19	517	248	338	554
OR10K1	8	12	8	13	1	4	2	5
RP11-556O5.3	22	45	21	21	23	40	19	21
GPR148	2	0	2	5	4	0	3	0
STOX2	36	92	118	47	340	182	136	582
MAP3K11	188	181	247	26	731	507	450	1051
TRIB1	22	30	44	7	159	78	50	194
CST9	2	9	0	2	0	0	5	0
KCNK7	5	1	2	1	4	0	7	1
SFT2D3	26	30	34	11	63	85	84	116
RP11-330H6.5	0	0	2	2	1	1	0	12
C1QB	31	19	114	0	168	508	116	202
C1QA	33	9	79	3	142	231	179	101
NDNF	41	51	57	15	398	238	198	604
OLR1	4	14	4	8	0	16	0	0
DAG1	148	105	269	14	744	283	430	693
INSM1	7	8	3	7	0	2	4	1
DAB1	8	14	10	15	5	0	1	22
ARV1	13	18	27	1	85	54	48	152
NAA20	25	19	45	11	168	131	111	190
CCDC36	16	17	16	2	73	98	57	152
SAA1	1	6	3	2	16	100	12	37
MINOS1	35	35	50	18	256	100	125	253
EHBP1L1	305	294	539	24	1475	607	1143	1375
THAP2	12	20	16	8	25	37	14	63
TMEM196	6	12	3	13	16	0	1	4
RNF26	46	23	52	6	150	84	103	148
PPP1R14B	31	11	80	0	313	128	89	142
RNASE11	5	2	1	3	6	0	0	2
SSSCA1	7	2	29	3	66	58	41	186
SMARCC1	149	107	259	6	1195	588	714	1495
ZNF417	55	84	108	13	187	128	211	374
PTPRM	292	308	661	16	2709	1276	1412	3264
FKBP2	33	21	51	5	149	108	113	131
VEGFB	68	51	134	1	1113	623	464	713
PEAK1	621	575	1063	108	6628	2261	3241	5216
TNFRSF10D	50	42	56	9	176	78	82	286
MST1	25	31	18	10	31	16	58	65
TNFRSF10C	2	3	10	2	11	21	13	20
GMPPB	50	37	89	12	183	143	215	182
MOB1B	47	41	83	21	553	270	253	430
ZNF622	82	84	124	25	488	331	182	394
CSPG4	662	233	1108	19	1145	642	755	1043
SNX33	286	243	472	40	1193	734	1000	1315
C2orf70	12	13	1	4	0	8	4	3
NABP1	75	119	146	51	410	300	149	541
ADGRF3	2	8	3	10	6	0	0	2
NLRP13	13	11	6	10	0	3	1	0
CHD2	299	384	602	36	2847	1723	1337	3172
XCR1	10	15	10	15	2	8	13	5
CCDC106	9	7	12	1	60	41	53	89
CCR9	11	20	9	14	0	0	11	5
CCDC41	28	45	77	14	277	168	164	304
SULT1B1	10	25	21	24	33	7	10	3
NUDT4	120	146	179	61	1170	502	615	1173
